PKUID,ID,ROW,COL,SS,bay_heads_GHB_index
9079,0,10,79,0.325942228548229,1
9080,0,10,80,0.32643268443644,1
9081,0,10,81,0.326524960808456,1
9082,0,10,82,0.32611754629761,1
9083,0,10,83,0.325554290320724,1
9084,0,10,84,0.324914526659995,1
9085,0,10,85,0.324474302586168,1
9086,0,10,86,0.324256823398173,1
9087,0,10,87,0.324573629535735,1
9088,0,10,88,0.325296056922525,1
9089,0,10,89,0.326553153805435,1
9090,0,10,90,0.328240992035717,1
9091,0,10,91,0.329949078150094,1
9092,0,10,92,0.332051253411919,1
9093,0,10,93,0.333948887884617,1
9094,0,10,94,0.33610193990171,1
9095,0,10,95,0.338123111985624,1
9096,0,10,96,0.339725986588746,1
9097,0,10,97,0.341188135556877,1
9098,0,10,98,0.342112026643008,1
9099,0,10,99,0.342767811845988,1
9100,0,10,100,0.343033609446138,1
9101,0,9,1,0.962653432972729,1
9102,0,9,2,0.960470397025347,1
9103,0,9,3,0.9579072361812,1
9104,0,9,4,0.954215781763196,1
9105,0,9,5,0.949461255222559,1
9106,0,9,6,0.944441445171833,1
9107,0,9,7,0.937826444394886,1
9108,0,9,8,0.929933595471084,1
9109,0,9,9,0.921980892308056,1
9110,0,9,10,0.91154320538044,1
9111,0,9,11,0.900741683319211,1
9112,0,9,12,0.886217419058084,1
9113,0,9,13,0.869743123650551,1
9114,0,9,14,0.854090560227633,1
9115,0,9,15,0.835568306036294,1
9116,0,9,16,0.819474123418331,1
9117,0,9,17,0.799622469581664,1
9118,0,9,18,0.778084779158235,1
9119,0,9,19,0.757744855247438,1
9120,0,9,20,0.732426638714969,1
9121,0,9,21,0.702981357462704,1
9122,0,9,22,0.672211305238307,1
9123,0,9,23,0.629736728966236,1
9124,0,9,24,0.588501314632595,1
9125,0,9,25,0.538885143585503,1
9126,0,9,26,0.488137860316783,1
9127,0,9,27,0.444865372031927,1
9128,0,9,28,0.39930898649618,1
9129,0,9,29,0.360009650234133,1
9130,0,9,30,0.332681406755,1
9131,0,9,31,0.310384767595679,1
9132,0,9,32,0.296432352159172,1
9133,0,9,33,0.285082825925201,1
9134,0,9,34,0.277865489479154,1
9135,0,9,35,0.273830825928599,1
9136,0,9,36,0.271363659761846,1
9137,0,9,37,0.271420818753541,1
9138,0,9,38,0.273861453868449,1
9139,0,9,39,0.2796276579611,1
9140,0,9,40,0.288455424830317,1
9141,0,9,41,0.295155262574553,1
9142,0,9,42,0.298854280263186,1
9143,0,9,43,0.300825856626034,1
9144,0,9,44,0.30278103472665,1
9145,0,9,45,0.304566271603107,1
9146,0,9,46,0.306711764074862,1
9147,0,9,47,0.310975444037467,1
9148,0,9,48,0.315169282723218,1
9149,0,9,49,0.318078591953963,1
9150,0,9,50,0.32043233467266,1
9151,0,9,51,0.321012637577951,1
9152,0,9,52,0.318980181589723,1
9153,0,9,53,0.317282858304679,1
9154,0,9,54,0.316795090679079,1
9155,0,9,55,0.316759846638888,1
9156,0,9,56,0.317584415432066,1
9157,0,9,57,0.319667109288275,1
9158,0,9,58,0.319951106794178,1
9159,0,9,59,0.320000573061407,1
9160,0,9,60,0.32052858453244,1
9161,0,9,61,0.32098828535527,1
9162,0,9,62,0.320876919198781,1
9163,0,9,63,0.322842988185585,1
9164,0,9,64,0.325315404683352,1
9165,0,9,65,0.327236877288669,1
9166,0,9,66,0.329114514868706,1
9167,0,9,67,0.330309972632676,1
9168,0,9,68,0.331047907471657,1
9169,0,9,69,0.331302556209266,1
9170,0,9,70,0.331695742439479,1
9171,0,9,71,0.331415845546871,1
9172,0,9,72,0.330791712272912,1
9173,0,9,73,0.329819259233773,1
9174,0,9,74,0.328412593808025,1
9175,0,9,75,0.326943393796682,1
9176,0,9,76,0.326018610969186,1
9177,0,9,77,0.325966963078827,1
9178,0,9,78,0.326366944238544,1
9179,0,9,79,0.326654015108943,1
9180,0,9,80,0.326695535331964,1
9181,0,9,81,0.326417696662247,1
9182,0,9,82,0.325736789498478,1
9183,0,9,83,0.324972969014198,1
9184,0,9,84,0.32410341873765,1
9185,0,9,85,0.323479416314512,1
9186,0,9,86,0.32313095824793,1
9187,0,9,87,0.323490570299327,1
9188,0,9,88,0.324370884336531,1
9189,0,9,89,0.325855464674532,1
9190,0,9,90,0.327763863373548,1
9191,0,9,91,0.329638552386314,1
9192,0,9,92,0.331875423435122,1
9193,0,9,93,0.333860331214964,1
9194,0,9,94,0.336096686776727,1
9195,0,9,95,0.338189243339002,1
9196,0,9,96,0.339826331008226,1
9197,0,9,97,0.341364094056189,1
9198,0,9,98,0.342373848892748,1
9199,0,9,99,0.343111015856266,1
9200,0,9,100,0.343517408240587,1
9201,0,8,1,0.955931819975376,1
9202,0,8,2,0.954427498392761,1
9203,0,8,3,0.952474499121308,1
9204,0,8,4,0.94914969522506,1
9205,0,8,5,0.944500394165516,1
9206,0,8,6,0.93949249945581,1
9207,0,8,7,0.932774729095399,1
9208,0,8,8,0.92492916341871,1
9209,0,8,9,0.917175860144198,1
9210,0,8,10,0.907196722924709,1
9211,0,8,11,0.897146984003484,1
9212,0,8,12,0.884151016362011,1
9213,0,8,13,0.870007771067321,1
9214,0,8,14,0.856922985985875,1
9215,0,8,15,0.841683994047344,1
9216,0,8,16,0.828525523655117,1
9217,0,8,17,0.811975346878171,1
9218,0,8,18,0.793384266085923,1
9219,0,8,19,0.775477283634245,1
9220,0,8,20,0.752465395256877,1
9221,0,8,21,0.724596451967955,1
9222,0,8,22,0.694619439542294,1
9223,0,8,23,0.652125005610287,1
9224,0,8,24,0.610137565992773,1
9225,0,8,25,0.559335929341614,1
9226,0,8,26,0.507166984025389,1
9227,0,8,27,0.462606770452112,1
9228,0,8,28,0.415883123874664,1
9229,0,8,29,0.376935067586601,1
9230,0,8,30,0.350570184644312,1
9231,0,8,31,0.330172328744084,1
9232,0,8,32,0.318502279929817,1
9233,0,8,33,0.30969450622797,1
9234,0,8,34,0.304770171176642,1
9235,0,8,35,0.302535355556756,1
9236,0,8,36,0.30186303704977,1
9237,0,8,37,0.303551776334643,1
9238,0,8,38,0.307137889321893,1
9239,0,8,39,0.313005082774907,1
9240,0,8,40,0.320387225598097,1
9241,0,8,41,0.32989807613194,1
9242,0,8,42,0.334550329484046,1
9243,0,8,43,0.335336961317807,1
9244,0,8,44,0.335487547330558,1
9245,0,8,45,0.336219075601548,1
9246,0,8,46,0.338523735757917,1
9247,0,8,47,0.343351695686579,1
9248,0,8,48,0.34831460705027,1
9249,0,8,49,0.353819624520838,1
9250,0,8,50,0.358901724219322,1
9251,0,8,51,0.35915649915114,1
9252,0,8,52,0.352200611494482,1
9253,0,8,53,0.346641503740102,1
9254,0,8,54,0.341848148033023,1
9255,0,8,55,0.337977400049567,1
9256,0,8,56,0.335601993370801,1
9257,0,8,57,0.333441768307239,1
9258,0,8,58,0.331075843889266,1
9259,0,8,59,0.329687891993672,1
9260,0,8,60,0.328902541659772,1
9261,0,8,61,0.327974426094443,1
9262,0,8,62,0.327133706770837,1
9263,0,8,63,0.32781358808279,1
9264,0,8,64,0.329143736511469,1
9265,0,8,65,0.330550140235573,1
9266,0,8,66,0.331914509180933,1
9267,0,8,67,0.332969118375331,1
9268,0,8,68,0.333733707200736,1
9269,0,8,69,0.333953113760799,1
9270,0,8,70,0.334176110103726,1
9271,0,8,71,0.333873273804784,1
9272,0,8,72,0.333321556448936,1
9273,0,8,73,0.332540301606059,1
9274,0,8,74,0.331501073203981,1
9275,0,8,75,0.330550397280604,1
9276,0,8,76,0.329729035962373,1
9277,0,8,77,0.329212177079171,1
9278,0,8,78,0.328712357208133,1
9279,0,8,79,0.328125396277755,1
9280,0,8,80,0.32752689672634,1
