PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
647,0,94,47,11.0440032929182,1
648,0,94,48,11.1672678738832,1
649,0,94,49,11.1731582581997,1
650,0,94,50,11.0418068915606,1
651,0,94,51,10.884829506278,1
652,0,94,52,10.6736891120672,1
653,0,94,53,10.462958663702,1
654,0,94,54,10.2169076651335,1
655,0,94,55,9.97365714609623,1
656,0,94,56,9.78674519062042,1
657,0,94,57,9.51127953827381,1
658,0,94,58,9.23376473784447,1
659,0,94,59,9.02503615617752,1
660,0,94,60,8.80252513289452,1
661,0,94,61,8.61713169515133,1
662,0,94,62,8.40415231883526,1
663,0,94,63,8.17886151373386,1
664,0,94,64,7.96913459151983,1
665,0,94,65,7.69177738577127,1
666,0,94,66,7.40756830573082,1
667,0,94,67,7.18383824825287,1
668,0,94,68,6.95276765525341,1
669,0,94,69,6.75817359238863,1
670,0,94,70,6.55653858929873,1
671,0,94,71,6.38130721449852,1
672,0,94,72,6.22964216023684,1
673,0,94,73,6.0558137819171,1
674,0,94,74,5.8866408765316,1
675,0,94,75,5.72262260317802,1
676,0,94,76,5.49215104430914,1
677,0,94,77,5.23844943195581,1
678,0,94,78,4.9232390448451,1
679,0,94,79,4.58747305721045,1
680,0,94,80,4.31158714368939,1
681,0,94,81,4.06887263804674,1
682,0,94,82,3.84572583064437,1
683,0,94,83,3.64908253028989,1
684,0,94,84,3.41082904487848,1
685,0,94,85,3.1857748478651,1
686,0,94,86,2.97627911344171,1
687,0,94,87,2.7653384283185,1
688,0,94,88,2.53745731338859,1
689,0,94,89,2.20685123838484,1
690,0,94,90,1.82631199248135,1
691,0,94,91,1.40718391444534,1
692,0,94,92,0.817080643959343,1
693,0,94,93,0.282711520771045,1
694,0,94,94,-0.433462269516895,1
695,0,94,95,-1.78823286201805,1
696,0,94,96,-3.07556231878698,1
697,0,94,97,-4.08989054337144,1
698,0,94,98,-4.88717760890722,1
699,0,94,99,-5.74422898888588,1
700,0,94,100,-7.08231667429209,1
701,0,93,1,19.6060470640659,1
702,0,93,2,19.5811830461025,1
703,0,93,3,19.5712676346302,1
704,0,93,4,19.5787343382835,1
705,0,93,5,19.5957851707935,1
706,0,93,6,19.5758076608181,1
707,0,93,7,19.4731508493423,1
708,0,93,8,19.2345403730869,1
709,0,93,9,18.8551571369171,1
710,0,93,10,18.3001588284969,1
711,0,93,11,17.7905751168728,1
712,0,93,12,17.2248366475105,1
713,0,93,13,16.6948972344398,1
714,0,93,14,16.2226672172546,1
715,0,93,15,15.6939521431923,1
716,0,93,16,15.2771621793509,1
717,0,93,17,14.8978735655546,1
718,0,93,18,14.6175844073296,1
719,0,93,19,14.4095124751329,1
720,0,93,20,14.092751994729,1
721,0,93,21,13.5889745056629,1
722,0,93,22,12.9996489435434,1
723,0,93,23,12.3082971274853,1
724,0,93,24,11.7226497381926,1
725,0,93,25,11.0784410983324,1
726,0,93,26,10.402763620019,1
727,0,93,27,9.78043991327286,1
728,0,93,28,9.17614942789078,1
729,0,93,29,8.85808591544628,1
730,0,93,30,8.92555329203606,1
731,0,93,31,9.11426232755184,1
732,0,93,32,9.22977657616138,1
733,0,93,33,9.19236466288567,1
734,0,93,34,8.8769808858633,1
735,0,93,35,8.40702103078365,1
736,0,93,36,7.81859923899174,1
737,0,93,37,7.403863966465,1
738,0,93,38,7.39744301885366,1
739,0,93,39,7.76677446812391,1
740,0,93,40,8.17324451357126,1
741,0,93,41,8.63714066147804,1
742,0,93,42,9.04310636222363,1
743,0,93,43,9.32000631093979,1
744,0,93,44,9.56163319945335,1
745,0,93,45,9.77568461000919,1
746,0,93,46,9.93274058401585,1
747,0,93,47,10.0602928847075,1
748,0,93,48,10.1565496474504,1
749,0,93,49,10.2041182219982,1
750,0,93,50,10.1599544882774,1
751,0,93,51,10.0762560069561,1
752,0,93,52,9.94310243427753,1
753,0,93,53,9.78151179850101,1
754,0,93,54,9.57331910729408,1
755,0,93,55,9.36181612312794,1
756,0,93,56,9.21348248422146,1
757,0,93,57,8.94851526618004,1
758,0,93,58,8.68118354678154,1
759,0,93,59,8.5117584168911,1
760,0,93,60,8.30637168139219,1
761,0,93,61,8.13661555200815,1
762,0,93,62,7.94305142760277,1
763,0,93,63,7.73307752609253,1
764,0,93,64,7.52786420285702,1
765,0,93,65,7.23597310483456,1
